"Disease","Predictor","mean_coef"
"Asthma","per_poverty_threshold",0.512013
"Asthma","education",0.222879
"Asthma","fraction_assisted_income",4.830149
"Asthma","fraction_high_school_edu",0.121617
"Asthma","median_income",2.108012
"Asthma","fraction_no_health_insurance",-1.879512
"Asthma","fraction_poverty",-0.237299
"Asthma","fraction_vacant_housing",1.143529
"Asthma","deprivation_index",-7.119326
"Afib","per_poverty_threshold",-0.538603
"Afib","education",-0.345722
"Afib","fraction_assisted_income",0.44373
"Afib","fraction_high_school_edu",-0.091022
"Afib","median_income",0.45721
"Afib","fraction_no_health_insurance",1.516773
"Afib","fraction_poverty",-2.817067
"Afib","fraction_vacant_housing",1.003659
"Afib","deprivation_index",0.012822
"BreastC","per_poverty_threshold",-1.318592
"BreastC","education",-0.271305
"BreastC","fraction_assisted_income",0.214482
"BreastC","fraction_high_school_edu",1.519544
"BreastC","median_income",0.144537
"BreastC","fraction_no_health_insurance",0.082075
"BreastC","fraction_poverty",-0.415213
"BreastC","fraction_vacant_housing",1.406008
"BreastC","deprivation_index",-2.184455
"CKD","per_poverty_threshold",0.528867
"CKD","education",0.331157
"CKD","fraction_assisted_income",-0.777001
"CKD","fraction_high_school_edu",0.262467
"CKD","median_income",0.018681
"CKD","fraction_no_health_insurance",0.523002
"CKD","fraction_poverty",-0.051965
"CKD","fraction_vacant_housing",0.906973
"CHD","per_poverty_threshold",-0.151098
"CHD","education",0.483065
"CHD","fraction_assisted_income",-0.132499
"CHD","fraction_high_school_edu",1.480683
"CHD","median_income",0.340717
"CHD","fraction_no_health_insurance",0.463626
"CHD","fraction_poverty",0.572984
"CHD","fraction_vacant_housing",0.914427
"CHD","deprivation_index",-2.944497
"ProstateC","per_poverty_threshold",-2.069598
"ProstateC","education",-0.547785
"ProstateC","fraction_assisted_income",17.680612
"ProstateC","fraction_high_school_edu",5.068262
"ProstateC","median_income",8.01092
"ProstateC","fraction_no_health_insurance",6.229114
"ProstateC","fraction_poverty",5.702833
"ProstateC","fraction_vacant_housing",7.389356
"ProstateC","deprivation_index",-37.213262
"t2d","per_poverty_threshold",1.545613
"t2d","education",0.98113
"t2d","fraction_assisted_income",-1.562806
"t2d","fraction_high_school_edu",1.058486
"t2d","median_income",-0.746723
"t2d","fraction_no_health_insurance",0.093663
"t2d","fraction_poverty",0.429391
"t2d","fraction_vacant_housing",0.282073
"t2d","deprivation_index",1.154483
"t1d","per_poverty_threshold",1.308281
"t1d","education",0.285902
"t1d","fraction_assisted_income",-3.855859
"t1d","fraction_high_school_edu",-0.357022
"t1d","median_income",-2.183601
"t1d","fraction_no_health_insurance",-1.960124
"t1d","fraction_poverty",-1.84639
"t1d","fraction_vacant_housing",-0.286106
"t1d","deprivation_index",9.294483
