"Disease","Predictor","mean_coef"
"Asthma","education",0.386266
"Asthma","fraction_assisted_income",4.725711
"Asthma","fraction_high_school_edu",0.074024
"Asthma","median_income",2.089309
"Asthma","fraction_no_health_insurance",-1.955298
"Asthma","fraction_poverty",-0.253462
"Asthma","fraction_vacant_housing",1.121231
"Asthma","deprivation_index",-6.790158
"Afib","education",-0.518264
"Afib","fraction_assisted_income",0.453624
"Afib","fraction_high_school_edu",-0.11412
"Afib","median_income",0.425877
"Afib","fraction_no_health_insurance",1.533152
"Afib","fraction_poverty",-2.883308
"Afib","fraction_vacant_housing",0.97284
"BreastC","education",-0.715585
"BreastC","fraction_assisted_income",0.325524
"BreastC","fraction_high_school_edu",1.648281
"BreastC","median_income",0.096773
"BreastC","fraction_no_health_insurance",0.170499
"BreastC","fraction_poverty",-0.404328
"BreastC","fraction_vacant_housing",1.46198
"BreastC","deprivation_index",-2.705401
"CKD","education",0.492941
"CKD","fraction_assisted_income",-0.749931
"CKD","fraction_high_school_edu",0.247076
"CKD","median_income",0.067173
"CKD","fraction_no_health_insurance",0.551417
"CKD","fraction_poverty",-0.025303
"CKD","fraction_vacant_housing",0.914894
"CHD","education",0.43333700000000003
"CHD","fraction_assisted_income",-0.253126
"CHD","fraction_high_school_edu",1.345551
"CHD","median_income",0.195423
"CHD","fraction_no_health_insurance",0.360286
"CHD","fraction_poverty",0.375001
"CHD","fraction_vacant_housing",0.844702
"CHD","deprivation_index",-2.35322
"ProstateC","education",-1.176087
"ProstateC","fraction_assisted_income",17.823495
"ProstateC","fraction_high_school_edu",5.101457
"ProstateC","median_income",8.136843
"ProstateC","fraction_no_health_insurance",6.284453
"ProstateC","fraction_poverty",5.868404
"ProstateC","fraction_vacant_housing",7.416366
"ProstateC","deprivation_index",-37.979829
"t2d","education",1.442368
"t2d","fraction_assisted_income",-1.611365
"t2d","fraction_high_school_edu",1.044503
"t2d","median_income",-0.607782
"t2d","fraction_no_health_insurance",0.069068
"t2d","fraction_poverty",0.552061
"t2d","fraction_vacant_housing",0.313508
"t2d","deprivation_index",1.285616
"t1d","education",0.687642
"t1d","fraction_assisted_income",-3.675093
"t1d","fraction_high_school_edu",-0.264062
"t1d","median_income",-1.942303
"t1d","fraction_no_health_insurance",-1.863703
"t1d","fraction_poverty",-1.621421
"t1d","fraction_vacant_housing",-0.198272
"t1d","deprivation_index",8.785179
