Date of Publication,Year,1 Person,2 Persons,3 Persons,4 Persons,5 Persons,6 Persons,7 Persons,8 Persons,$ For Each Additional Person (9+),,Documentation,HTML Link
January 2024,2024,18810.00,25540.00,32270.00,39000.00,45730.00,52460.00,59190.00,65920.00,6730.00,,"2024 Vol. 89, No. 11, January 17, 2024, pp. 2961-2963",https://www.govinfo.gov/content/pkg/FR-2024-01-17/pdf/2024-00796.pdf
January 2023,2023,18210.00,24640.00,31070.00,37500.00,43930.00,50360.00,56790.00,63220.00,6430.00,,"2023 Vol. 88, No. 12, January 19, 2023, pp. 3424-3425",https://www.govinfo.gov/content/pkg/FR-2023-01-19/pdf/2023-00885.pdf
January 2022,2022,16990.00,22890.00,28790.00,34690.00,40590.00,46490.00,52390.00,58290.00,5900.00,,"2022 Vol. 87, No. 14, January 21, 2022, pp. 3315-3316",https://www.govinfo.gov/content/pkg/FR-2022-01-21/pdf/2022-01166.pdf
February 2021,2021,16090.00,21770.00,27450.00,33130.00,38810.00,44490.00,50170.00,55850.00,5680.00,,"2021 Vol. 86, No. 19, February 1, 2021, pp. 7732-7734",https://www.govinfo.gov/content/pkg/FR-2021-02-01/pdf/2021-01969.pdf
January 2020,2020,15950.00,21550.00,27150.00,32750.00,38350.00,43950.00,49550.00,55150.00,5600.00,,"2020 Vol. 85, No. 12, January 17, 2020, pp. 3060-3061",https://www.govinfo.gov/content/pkg/FR-2020-01-17/pdf/2020-00858.pdf
January 2019,2019,15600.00,21130.00,26660.00,32190.00,37720.00,43250.00,48780.00,54310.00,5530.00,,"2019 Vol. 84, No. 22, February 1, 2019, pp. 1167-1168",https://www.govinfo.gov/content/pkg/FR-2019-02-01/pdf/2019-00621.pdf
January 2018,2018,15180.00,20580.00,25980.00,31380.00,36780.00,42180.00,47580.00,52980.00,5400.00,,"2018 Vol. 83, No. 12, January 18, 2018, pp. 2642-2644",https://www.govinfo.gov/content/pkg/FR-2018-01-18/pdf/2018-00814.pdf
January 2017,2017,15060.00,20290.00,25520.00,30750.00,35980.00,41210.00,46440.00,51670.00,5230.00,,"2017 Vol. 82, No. 19, January 31, 2017, pp. 8831-8832",https://www.govinfo.gov/content/pkg/FR-2017-01-31/pdf/2017-02076.pdf
January 2016,2016,14840.00,20020.00,25200.00,30380.00,35560.00,40740.00,45920.00,51120.00,5200.00,,"2016 Vol. 81, No.15 January 25, 2016, pp. 4036-4037",https://www.govinfo.gov/content/pkg/FR-2019-02-01/pdf/2019-00621.pdf
January 2015,2015,14720.00,19920.00,25120.00,30320.00,35520.00,40720.00,45920.00,51120.00,5200.00,,"2015 Vol. 80, No. 14, January 22, 2015, pp. 3236-3237",https://www.govinfo.gov/content/pkg/FR-2015-01-22/pdf/2015-01120.pdf
January 2014,2014,14580.00,19660.00,24740.00,29820.00,34900.00,39980.00,45060.00,50140.00,5080.00,,"2014 Vol. 79, No. 14, January 22, 2014, pp. 3593-3594",https://www.govinfo.gov/content/pkg/FR-2014-01-22/pdf/FR-2014-01-22.pdf
January 2013,2013,14350.00,19380.00,24410.00,29440.00,34470.00,39500.00,44530.00,49560.00,5030.00,,"2013 Vol. 78, No. 16, January 24, 2013, pp. 5182-5183",https://www.govinfo.gov/content/pkg/FR-2013-01-24/pdf/2013-01422.pdf
January 2012,2012,13970.00,18920.00,23870.00,28820.00,33770.00,38720.00,43670.00,48620.00,4950.00,,"2012 Vol. 77, No. 17, January 26, 2012, pp. 4034-4035",https://www.govinfo.gov/content/pkg/FR-2012-01-26/pdf/2012-1603.pdf
January 2011,2011,13600.00,18380.00,23160.00,27940.00,32720.00,37500.00,42280.00,47060.00,4780.00,,"2011 Vol. 76, No. 13, January 20, 2011, pp. 3637-3638",https://www.govinfo.gov/content/pkg/FR-2011-01-20/pdf/2011-1237.pdf
January 2010,2010,13530.00,18210.00,22890.00,27570.00,32250.00,36930.00,41610.00,46290.00,4680.00,,"2010 (Delayed update) Vol. 75, No. 148, August 3, 2010, pp. 45628-45629",https://www.govinfo.gov/content/pkg/FR-2010-08-03/pdf/2010-19129.pdf
January 2009,2009,13530.00,18210.00,22890.00,27570.00,32250.00,36930.00,41610.00,46290.00,4680.00,,"2009 Vol. 74, No. 14, January 23, 2009, pp. 4199-4201",https://www.govinfo.gov/content/pkg/FR-2009-06-19/pdf/E9-14491.pdf
January 2008,2008,13000.00,17500.00,22000.00,26500.00,31000.00,35500.00,40000.00,44500.00,4500.00,,"2008 Vol. 73, No. 15, January 23, 2008, pp. 3971-3972",https://www.govinfo.gov/content/pkg/FR-2008-01-23/pdf/08-256.pdf
January 2007,2007,12770.00,17120.00,21470.00,25820.00,30170.00,34520.00,38870.00,43220.00,4350.00,,"2007 Vol. 72, No. 15, January 24, 2007, pp. 3147-3148",https://www.govinfo.gov/content/pkg/FR-2007-10-05/pdf/E7-19747.pdf
January 2006,2006,12250.00,16500.00,20750.00,25000.00,29250.00,33500.00,37750.00,42000.00,4250.00,,"2006 Vol. 71, No. 15, January 24, 2006, pp. 3848-3849",https://www.govinfo.gov/content/pkg/FR-2006-01-24/pdf/06-624.pdf
February 2005,2005,11950.00,16030.00,20110.00,24190.00,28270.00,32350.00,36430.00,40510.00,4080.00,,"2005 Vol. 70, No. 33, February 18, 2005, pp. 8373-8375",https://www.govinfo.gov/content/pkg/FR-2005-02-18/pdf/05-3144.pdf
February 2004,2004,11630.00,15610.00,19590.00,23570.00,27550.00,31530.00,35510.00,39490.00,3980.00,,"2004 Vol. 69, No. 30, February 13, 2004, pp. 7336-7338",https://www.govinfo.gov/content/pkg/FR-2004-02-13/pdf/04-3329.pdf
February 2003,2003,11210.00,15140.00,19070.00,23000.00,26930.00,30860.00,34790.00,38720.00,3930.00,,"2003 Vol. 68, No. 26, February 7, 2003, pp. 6456-6458",https://www.govinfo.gov/content/pkg/FR-2003-02-07/pdf/03-3018.pdf
February 2002,2002,11080.00,14930.00,18780.00,22630.00,26480.00,30330.00,34180.00,38030.00,3850.00,,"2002 Vol. 67, No. 31, February 14, 2002, pp. 6931-6933",https://www.govinfo.gov/content/pkg/FR-2002-02-14/pdf/02-3627.pdf
February 2001,2001,10730.00,14510.00,18290.00,22070.00,25850.00,29630.00,33410.00,37190.00,3780.00,,"2001 Vol. 66, No. 33, February 16, 2001, pp. 10695-10697",https://www.govinfo.gov/content/pkg/FR-2001-02-16/pdf/01-4036.pdf
